Name,IAU,ref,cdda16,Z,G_NO,ZERO-TO-ZERO,AVE_PEAK,MAX_PEAK,MIN_PEAK,AVE_V,AVE_V_over_Z2Z,AVE_FWHM,MAX_FWHM,MIN_FWHM,TYPE
3C268.3,J1206+6413,vpt+03,N,0.371,2,21,0.005,0.007,0.003,27.7,0.13,73.1,136,12.1,ass
J1209-2032,J1209-2032,mpg+20,N,0.4040,2,262,0.091,0.136,0.046,22.9,0.087,77.7,124,31.7,ass
PKS1221-42,1221-423,jbc+10,N,0.171,2,321,0.011,0.020,0.003,-33.7,0.10,110,163,57,ass
PKS1245-19,1245-197,ak17,N,1.275,3,953,0.008,0.015,0.002,154,0.161,220,326,93,ass
4C+49.25,J1247+4900,gmmo14,Y,0.206,4,686,0.001,0.001,0.0,21.8,0.032,192.0,259.6,118.7,ass
2MASXJ13013264+4634032,J1301+46,gmmo14,Y,0.205,3,901,0.008,0.011,0.005,7.27,0.008,198.0,298.1,111.2,ass
4C+32.44,J1326+3154,vpt+03,Y,0.368,1,459,0.002,0.002,0.002,0.0,0.0,227.4,227.4,227.4,ass
B31355+441,B31355+441,vpt+03,Y,0.645,1,1085,0.054,0.054,0.054,0.0,0.0,358.6,358.6,358.6,ass
4C+12.50,1345+12,gss+06,N,0.122,2,249,0.006,0.010,0.002,27.3,0.11,95.8,121,71.0,ass
1357+0046,1357+0046,ysd+16,N,0.797,2,330,0.016,0.017,0.015,18.7,0.057,79.9,99.1,60.7,ass
4C+62.22,1400+6210,vpt+03,Y,0.43,1,411,0.006,0.006,0.006,0.0,0.0,169.0,169.0,169.0,ass
2MASXiJ1409416+360416,J1409+3604,css11,Y,0.148,2,249,0.034,0.037,0.032,-9.55,-0.038,57.7,65.6,49.7,ass
[HB89]1413+135,1413+135,cps92,Y,0.246,2,72,0.029,0.036,0.022,-15.9,-0.221,53.7,62.7,44.7,ass
2MASXJ142210+210554,J142210+210554,gmmo14,Y,0.19,1,544,0.043,0.043,0.043,0.0,0.0,183.4,183.4,183.4,ass
B31456+375,1456+375,ak18,N,0.333,2,31,0.218,0.227,0.21,-1.50,-0.048,7.13,10.1,4.2,ass
B21504+37,1504+37,cmr+98,Y,0.673,3,258,0.205,0.335,0.076,-8.07,-0.031,45.4,84.5,17.4,ass
2MASXJ15131921+3431340,J1513+3431,mmo+17,N,0.127,1,471,0.300,0.300,0.300,-10.3,-0.022,146,146,146,ass
J1521+5508,J1521+5508,dsgj19,N,1.0701,3,90,0.010,0.012,0.008,6.09,0.067,21.2,46.5,5.39,ass
SDSSJ153452.95+290919.8,J1534+2909,mmo+17,N,0.201,4,464,0.029,0.038,0.011,-12.4,0.027,79.6,122,31.3,ass
B1540-1453,B1540-1453,gss+21,N,2.1139,2,253,0.063,0.103,0.024,-9.63,-0.038,100,133,67.1,ass
B1549-79,B1549-79,mot+01,N,0.15010,2,260,0.015,0.018,0.05,-8.4,-0.032,154,271,37.5,ass
SDSSJ1545016+475154.6,1543+480,cwt+12,Y,1.277,2,532,0.042,0.053,0.032,-20.2,-0.038,109.0,129.2,88.5,ass
